group_number,L1,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,time_interval
1,0.014,879,0.255,0.62,839,tanh,relu,18,constant,0.045,binary_crossentropy,3,0.87,"(1111, 1)",sigmoid,Nadam,7.293
2,0.079,285,0.191,0.72,557,relu,softmax,18,constant,0.283,binary_crossentropy,3,0.58,"(390, 34, 592, 340, 1)",sigmoid,SGD,1.524
3,0.211,357,0.199,0.51,926,relu,tanh,18,constant,0.098,binary_crossentropy,3,0.85,"(448, 1)",sigmoid,SGD,47.844
4,0.015,1227,0.232,0.24,92,tanh,tanh,18,glorot_uniform,0.159,binary_crossentropy,3,0.6,"(551, 447, 34, 1)",sigmoid,Adagrad,1.667
5,0.275,227,0.108,0.23,167,sigmoid,relu,18,glorot_normal,0.159,binary_crossentropy,3,0.28,"(570, 1)",sigmoid,Adamax,8.085
6,0.129,1105,0.019,0.39,461,softmax,softmax,18,constant,0.05,binary_crossentropy,3,0.24,"(950, 1061, 1)",sigmoid,adam,14.994
7,0.167,103,0.074,0.58,851,tanh,sigmoid,18,glorot_normal,0.031,binary_crossentropy,3,0.11,"(483, 1)",sigmoid,Adagrad,4.451
8,0.03,97,0.206,0.13,416,tanh,tanh,18,glorot_uniform,0.076,binary_crossentropy,3,0.87,"(308, 268, 758, 1085, 1)",sigmoid,Nadam,12.829
9,0.203,737,0.091,0.85,185,relu,softmax,18,glorot_uniform,0.176,binary_crossentropy,3,0.29,"(462, 1367, 1446, 1)",sigmoid,Adagrad,3.611
10,0.077,1207,0.019,0.76,224,relu,sigmoid,18,he_uniform,0.048,binary_crossentropy,3,0.38,"(699, 1)",sigmoid,Adamax,1.155
average time: 10.3453 h
